CardID,Name,Note,Category,Type,Tier,BestAgainst,MaxStacks,Duration,Chance,SpatialLength,BaseCooldown,MaxLevel,Color,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,BonusTypeA,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,BonusTypeA Scaling,BonusTypeB,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,BonusTypeC,BonusAmountC,BonusTypeD,BonusAmountD,BonusTypeE,BonusAmountE,BonusTypeF,BonusAmountF,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,CHD1,CHD2,CHD3,CHD4,CHD5,CHD6,CHD7,CHD8,CHD9,CHD10,CHC1,CHC2,CHC3,CHC4,CHC5,CHC6,CHC7,CHC8,CHC9,CHC10
Fuse,Fuse,Chance to apply fuse affliction,Affliction,Basic,2,-,1,3,0.075,0,0,10,#EEBA00,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,FuseExplosionMult,18,18.753,19.884,21.391,23.274,25.535,28.172,31.186,34.577,38.344,0.02093,None,0,0,0,0,0,0,0,0,0,0,FuseRepeatChance,1,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,1.80E+01,2.35E+01,2.90E+01,3.45E+01,4.00E+01,4.55E+01,5.10E+01,5.64E+01,6.19E+01,6.74E+01,4.44E-02,4.44E-02,4.44E-02,4.44E-02,4.44E-02,4.44E-02,4.44E-02,4.44E-02,4.44E-02,4.44E-02
Shadow,Shadow,Damage bonus at max stacks,Affliction,Basic,2,-,7,8,0.07,0,0,10,#DDE3E7,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,ShadowDamageRate,0.598,0.623,0.660,0.710,0.773,0.848,0.935,1.036,1.148,1.273,0.02093,ShadowDamageMult,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,None,0,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,2.69E+00,3.59E+00,4.52E+00,5.49E+00,6.50E+00,7.55E+00,8.63E+00,9.75E+00,1.09E+01,1.21E+01,7.00E-02,7.00E-02,7.00E-02,7.00E-02,7.00E-02,7.00E-02,7.00E-02,7.00E-02,7.00E-02,7.00E-02
PlagueAttack,Plague Attack,Damage increases as debuff is spread,Affliction,Basic,1,-,5,3.5,0.08,0,0,10,#B6FF0C,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,PlagueAttackDamageRate,1.795,1.870,1.983,2.133,2.321,2.546,2.809,3.110,3.448,3.824,0.02093,PlagueAttackDamageMult,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,None,0,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,1.97E+00,2.58E+00,3.18E+00,3.78E+00,4.38E+00,4.99E+00,5.59E+00,6.19E+00,6.79E+00,7.40E+00,8.00E-02,8.00E-02,8.00E-02,8.00E-02,8.00E-02,8.00E-02,8.00E-02,8.00E-02,8.00E-02,8.00E-02
Disease,Disease,Damage increases over time,Affliction,Basic,1,-,5,5,0.12,0,0,10,#CE6172,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,DiseaseDamageRate,0.632,0.659,0.699,0.752,0.818,0.897,0.990,1.096,1.215,1.347,0.02093,DiseaseBonusRate,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,None,0,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,1.90E+00,2.09E+00,2.28E+00,2.47E+00,2.66E+00,2.85E+00,3.04E+00,3.23E+00,3.41E+00,3.60E+00,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01
ExecutionersAxe,Executioner's Axe,Head dmg bonus.,Support,Basic,1,Head,3,4,0.08,0,0,10,#ffffff,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,HeadDamage,0.283,0.299,0.322,0.354,0.393,0.440,0.494,0.557,0.627,0.705,0.02757,None,0,0,0,0,0,0,0,0,0,0,None,0,None,0,None,0,None,0,0.8,0.844112,0.91028,0.998504,1.108784,1.24112,1.395512,1.57196,1.770464,1.991024,1.50E-01,1.65E-01,1.80E-01,1.95E-01,2.10E-01,2.25E-01,2.40E-01,2.55E-01,2.70E-01,2.85E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
MentalFocus,Rancid,Affliction dmg and chance bonus,Support,Basic,2,-,3,4,0.05,0,0,10,#ffffff,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,AfflictedDamage,0.209,0.221,0.240,0.264,0.294,0.331,0.374,0.423,0.477,0.539,0.02093,AfflictedChance,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,None,0,None,0,None,0,None,0,1.165,1.2137669,1.28691725,1.38445105,1.5063683,1.652669,1.82335315,2.01842075,2.2378718,2.4817063,1.21E-01,1.33E-01,1.46E-01,1.58E-01,1.71E-01,1.84E-01,1.96E-01,2.09E-01,2.22E-01,2.35E-01,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02
ImpactAttack,Heavy Attack,Dmg bonus to body part types,Support,Basic,1,Body,3,4,0.08,0,0,10,#ffffff,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,BodyDamage,0.250,0.264,0.284,0.312,0.346,0.388,0.436,0.491,0.553,0.622,0.02757,None,0,0,0,0,0,0,0,0,0,0,None,0,None,0,None,0,None,0,0.8,0.844112,0.91028,0.998504,1.108784,1.24112,1.395512,1.57196,1.770464,1.991024,1.25E-01,1.38E-01,1.50E-01,1.63E-01,1.75E-01,1.88E-01,2.00E-01,2.13E-01,2.25E-01,2.38E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
InnerTruth,Inner Truth,Chest dmg bonus.,Support,Basic,1,Torso,3,4,0.08,0,0,10,#ffffff,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,ChestDamage,0.283,0.299,0.322,0.354,0.393,0.440,0.494,0.557,0.627,0.705,0.02757,None,0,0,0,0,0,0,0,0,0,0,None,0,None,0,None,0,None,0,0.8,0.844112,0.91028,0.998504,1.108784,1.24112,1.395512,1.57196,1.770464,1.991024,1.50E-01,1.65E-01,1.80E-01,1.95E-01,2.10E-01,2.25E-01,2.40E-01,2.55E-01,2.70E-01,2.85E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
FinisherAttack,Titan's Bane,Dmg per exposed skeleton part,Support,Basic,1,-,1,2,0.08,0,0,10,#ffffff,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,ExposedSkeletonBoost,0.160,0.169,0.182,0.200,0.222,0.248,0.279,0.314,0.354,0.398,0.02757,None,0,0,0,0,0,0,0,0,0,0,None,0,None,0,None,0,None,0,0.8,0.844112,0.91028,0.998504,1.108784,1.24112,1.395512,1.57196,1.770464,1.991024,8.00E-02,8.80E-02,9.60E-02,1.04E-01,1.12E-01,1.20E-01,1.28E-01,1.36E-01,1.44E-01,1.52E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
SuperheatMetal,Prismatic Hypernova,Armor dmg bonus.,Support,Basic,2,Armor,3,4,0.08,0,0,10,#ffffff,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,ArmorDamage,0.250,0.264,0.284,0.312,0.346,0.388,0.436,0.491,0.553,0.622,0.02757,None,0,0,0,0,0,0,0,0,0,0,None,0,None,0,None,0,None,0,0.8,0.844112,0.91028,0.998504,1.108784,1.24112,1.395512,1.57196,1.770464,1.991024,1.25E-01,1.38E-01,1.50E-01,1.63E-01,1.75E-01,1.88E-01,2.00E-01,2.13E-01,2.25E-01,2.38E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
BurstBoost,Frenzy,Burst dmg and chance bonus,Support,Basic,2,-,3,4,0.05,0,0,10,#ffffff,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,BurstDamage,0.209,0.221,0.240,0.264,0.294,0.331,0.374,0.423,0.477,0.539,0.02093,BurstChance,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,None,0,None,0,None,0,None,0,1.165,1.2137669,1.28691725,1.38445105,1.5063683,1.652669,1.82335315,2.01842075,2.2378718,2.4817063,1.21E-01,1.33E-01,1.46E-01,1.58E-01,1.71E-01,1.84E-01,1.96E-01,2.09E-01,2.22E-01,2.35E-01,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02
